"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 23 15:16:40 GMT 2022","Sun Oct 23 15:16:40 GMT 2022","3","","org.allureHomework.Archive.LabelsTest","","org.allureHomework.Archive.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Oct 23 15:16:38 GMT 2022","Sun Oct 23 15:16:40 GMT 2022","1993","","org.allureHomework.Archive.AttachmentsTest","","org.allureHomework.Archive.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"failed","Sun Oct 23 15:16:45 GMT 2022","Sun Oct 23 15:16:50 GMT 2022","4534","","org.allureHomework.Archive.StepsTest","","org.allureHomework.Archive.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Sun Oct 23 15:16:58 GMT 2022","Sun Oct 23 15:17:01 GMT 2022","2861","","org.allureHomework.Tests.GitHubTests","","org.allureHomework.Tests.GitHubTests","checkIssueNameWithLambdaSteps","Проверить имя issue – тест с lamda-функцией step",""
"passed","Sun Oct 23 15:16:40 GMT 2022","Sun Oct 23 15:16:40 GMT 2022","8","","org.allureHomework.Archive.LabelsTest","","org.allureHomework.Archive.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Oct 23 15:16:32 GMT 2022","Sun Oct 23 15:16:38 GMT 2022","6028","","org.allureHomework.Archive.AttachmentsTest","","org.allureHomework.Archive.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Oct 23 15:16:53 GMT 2022","Sun Oct 23 15:16:58 GMT 2022","5048","","org.allureHomework.Tests.GitHubTests","","org.allureHomework.Tests.GitHubTests","checkIssueNameSelenide","Проверить имя issue – тест Selenide",""
"passed","Sun Oct 23 15:17:01 GMT 2022","Sun Oct 23 15:17:04 GMT 2022","3086","","org.allureHomework.Tests.GitHubTests","","org.allureHomework.Tests.GitHubTests","checkIssueNameWithAnnotationStep","Проверить имя issue – тест с аннотацией @Step",""
"passed","Sun Oct 23 15:16:40 GMT 2022","Sun Oct 23 15:16:45 GMT 2022","4583","","org.allureHomework.Archive.SelenideTest","","org.allureHomework.Archive.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Oct 23 15:16:50 GMT 2022","Sun Oct 23 15:16:53 GMT 2022","3255","","org.allureHomework.Archive.StepsTest","","org.allureHomework.Archive.StepsTest","testLambdaStep","testLambdaStep()",""
